ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,กันสาดหลายด้าน,อลูมิเนียม,จันทัน (ยาว 142.8 ซม.) + จันทัน (ยาว 94.2 ซม.) + รัดรอบ 4×4 (ราง) (ยาว 500 ซม.) + รัดรอบ 4×4 (ราง) (ยาว 450 ซม.) + เสา 4×4 (ฝั่งต่ำ) (ยาว 240 ซม.),"กล่อง 4""x4""",,2208,เส้น,8,13248,400×200 1 บาน · กันสาดหลายด้าน,"กล่อง 4""X4""",8,ชิ้น,ตรง,ใบตัด: awning_multi
✓ ผ่าน,กันสาดหลายด้าน,อลูมิเนียม,จันทัน (ยาว 142.8 ซม.) + จันทัน (ยาว 52.4 ซม.) + จันทัน (ยาว 94.2 ซม.) + รัดรอบ 1.6×4 ฝั่งบ้าน (ยาว 500 ซม.) + รัดรอบ 1.6×4 ฝั่งบ้าน (ยาว 450 ซม.) + กล่อง 1.6×4 ตั้ง (ฝั่งสูง) (ยาว 270 ซม.) + ตะเข้-2 (ยาว 182.8 ซม.) + กล่องครอบเพลท 1.6×4 (ยาว 51 ซม.) + กล่องครอบเพลท 1.6×4 (ยาว 34.8 ซม.),"กล่อง 1.6""x4""",,1220,เส้น,25,12200,400×200 1 บาน · กันสาดหลายด้าน,"กล่อง 1.6""X4""",25,ชิ้น,ตรง,ใบตัด: awning_multi
✓ ผ่าน,กันสาดหลายด้าน,อลูมิเนียม,แป 1×1½ (ยาว 94.6 ซม.) + แป 1×1½ (ยาว 84.6 ซม.),"กล่อง 1""x1.5""",,395,เส้น,58,3950,400×200 1 บาน · กันสาดหลายด้าน,"กล่อง 1""X1.5""",58,ชิ้น,ตรง,ใบตัด: awning_multi
✓ ผ่าน,กันสาดหลายด้าน,อลูมิเนียม,ฉาก 6 หุน (ยาว 400 ซม.) + ฉาก 6 หุน (ยาว 300 ซม.),ฉาก 6 หุน,,140,เส้น,2,280,400×200 1 บาน · กันสาดหลายด้าน,ฉาก 6 หุน,2,ชิ้น,ตรง,ใบตัด: awning_multi
✓ ผ่าน,กันสาดหลายด้าน,อลูมิเนียม,"แซด 4"" (ยาว 400 ซม.) + แซด 4"" (ยาว 300 ซม.)","แซด 4""",,140,เส้น,2,280,400×200 1 บาน · กันสาดหลายด้าน,"แซด 4""",2,ชิ้น,ตรง,ใบตัด: awning_multi
⚪ ดูเฉย ๆ,กันสาดหลายด้าน,อุปกรณ์/สิ้นเปลือง,แผ่นไวนิล (ทุกด้าน),,,1848,แผ่น,8,14784,400×200 1 บาน · กันสาดหลายด้าน,,,,ใบตัดไม่ลงประเภทนี้,ใบตัด: awning_multi
⚪ ดูเฉย ๆ,กันสาดหลายด้าน,อุปกรณ์/สิ้นเปลือง,ฝาครอบไวนิล (ทุกด้าน),,,245,เส้น,8,1960,400×200 1 บาน · กันสาดหลายด้าน,,,,ใบตัดไม่ลงประเภทนี้,ใบตัด: awning_multi
⚪ ดูเฉย ๆ,กันสาดหลายด้าน,อุปกรณ์/สิ้นเปลือง,รางน้ำอลู (ทุกด้าน),,,2273,เส้น,2,4546,400×200 1 บาน · กันสาดหลายด้าน,,,,ใบตัดไม่ลงประเภทนี้,ใบตัด: awning_multi
⚪ ดูเฉย ๆ,กันสาดหลายด้าน,อุปกรณ์/สิ้นเปลือง,กล่องเหล็ก 1×1 (ทุกด้าน),,,110,เส้น,10,1100,400×200 1 บาน · กันสาดหลายด้าน,,,,ใบตัดไม่ลงประเภทนี้,ใบตัด: awning_multi
⚪ ดูเฉย ๆ,กันสาดหลายด้าน,อุปกรณ์/สิ้นเปลือง,เพลทเหล็ก (รวมทุกด้าน),,,15,แผ่น,20,300,400×200 1 บาน · กันสาดหลายด้าน,,,,ใบตัดไม่ลงประเภทนี้,ใบตัด: awning_multi
