ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
🔴 ต้องแก้,บานกระทุ้ง,อลูมิเนียม,วงกบ 3 ด้าน F7859,F7859,,1049.1,เส้น,1,255.72,40×40 1 บาน,F7859,3,ชิ้น,จำนวนต่าง,JR_FUJI_บานเปิดบานกระทุ้ง_1
— ไม่ต้องทำ,บานกระทุ้ง,อลูมิเนียม,ธรณี F7939B,F7939B,,1285,เส้น,1,104.41,40×40 1 บาน,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
— ไม่ต้องทำ,บานกระทุ้ง,อลูมิเนียม,กรอบ 7943B,F7943B,,1305,เส้น,1,424.13,40×40 1 บาน,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🔴 ต้องแก้,บานกระทุ้ง,อลูมิเนียม,คิ้ว F7935,F7935,,453.3,เส้น,1,147.32,40×40 1 บาน,F7935,4,ชิ้น,จำนวนต่าง,JR_FUJI_บานเปิดบานกระทุ้ง_1
— ไม่ต้องทำ,บานกระทุ้ง,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,0.16,42.24,40×40 1 บาน,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,มือจับหลบมุ้ง KINGBO-FH3016,JR00318,JR00316,111,ชุด,1,111,40×40 1 บาน,JR00318,1,ชุด,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,วิทโก้ (บานพับ SC-304P),JR00559,,360,ตัว,2,720,40×40 1 บาน,JR00559,2,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,CDQ Kingbo,JR00564,,99,ชุด,1,99,40×40 1 บาน,JR00564,1,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,รับล็อคลูกเบี้ยว,JR00483,,15,ตัว,2,30,40×40 1 บาน,JR00483,2,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,ลูกเบี้ยวล็อค,JR00486,,17,ตัว,2,34,40×40 1 บาน,JR00486,2,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,สปิงก็อท,JR00592,,12,ตัว,4,48,40×40 1 บาน,JR00592,4,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,ฉากประคองมุม,JR00267,,1.5,ตัว,8,12,40×40 1 บาน,JR00267,8,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,"น็อตเฟรม 1""",JR00864,,1,ตัว,8,8,40×40 1 บาน,JR00864,8,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,ยางอัดกระจก,JR00770,,11,ม.,1.6,17.6,40×40 1 บาน,JR00770,1.6,เมตร,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
— ไม่ต้องทำ,บานกระทุ้ง,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,1,90,40×40 1 บาน,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟠 ต้องเติม,บานกระทุ้ง,มีแต่ในใบตัด,ยางวงกบ,JR00770,,,เมตร,,,40×40 1 บาน,JR00770,1.6,เมตร,คิดราคาไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟠 ต้องเติม,บานกระทุ้ง,มีแต่ในใบตัด (อลู),เฟรม ล่าง,F7939,,,ชิ้น,,,40×40 1 บาน,F7939,1,ชิ้น,คิดราคาไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟠 ต้องเติม,บานกระทุ้ง,มีแต่ในใบตัด (อลู),เสา,F7943,,,ชิ้น,,,40×40 1 บาน,F7943,4,ชิ้น,คิดราคาไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
