ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อลูมิเนียม,วงกบ 3 ด้าน F7859,F7859,,1205,เส้น,1,1205,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อลูมิเนียม,ธรณี F7938B,F7938B,,1520,เส้น,1,1520,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อลูมิเนียม,ตบธรณี F7960,F7960,,610,เส้น,1,610,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อลูมิเนียม,กรอบประตู 7864,F7864,,2165,เส้น,1,4330,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อลูมิเนียม,คิ้ว F7935,F7935,,380,เส้น,1,760,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,3,792,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อุปกรณ์/สิ้นเปลือง,จุดหมุน (2 ตัว/บาน),JR00269,,450,ชุด,2,900,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อุปกรณ์/สิ้นเปลือง,มือจับ+ล็อค ใบหลัก,JR00233,,1045,ชุด,1,1045,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อุปกรณ์/สิ้นเปลือง,น็อตเฟรม,JR00212,,1,ตัว,8,8,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อุปกรณ์/สิ้นเปลือง,ยาง (epdm sponge),JR00771,,11,ม.,7,77,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,2,180,150×200 1 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อลูมิเนียม,เปิดกลาง F7945c,F7945C,,820,เส้น,1,820,150×200 2 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อุปกรณ์/สิ้นเปลือง,CDQ บานเปิด (บานลอง),JR00596,,370,ตัว,1,370,150×200 2 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อุปกรณ์/สิ้นเปลือง,ปลายกลอน (บานลอง),JR00598,,80,ตัว,1,80,150×200 2 บาน · มีธรณี,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานหมุน (Pivot),อลูมิเนียม,เสริมใต้บาน F7863,F7863,,435,เส้น,1,435,150×200 1 บาน · ไม่มีธรณี,,,,ยังไม่ผูกไฟล์,
