ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเปิด,อลูมิเนียม,เฟรมข้าง F7859 + เฟรมบน F7859,F7859,,1205,เส้น,3,1333.97,150×200 1 บาน · มีธรณี,F7859,3,ชิ้น,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อลูมิเนียม,เฟรมล่าง (ธรณี) F7938B,F7938B,,1520,เส้น,1,447.69,150×200 1 บาน · มีธรณี,F7938B,1,ชิ้น,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อลูมิเนียม,ตบธรณี F7960,F7960,,610,เส้น,1,185.86,150×200 1 บาน · มีธรณี,F7960,1,ชิ้น,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อลูมิเนียม,เสา (กรอบบาน 10 ซม.) + ขวาง (กรอบบาน 10 ซม.),F7864,,2165,เส้น,4,3013.27,150×200 1 บาน · มีธรณี,F7864,4,ชิ้น,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อลูมิเนียม,คิ้วตั้ง F7935 + คิ้วขวาง F7935,F7935,,380,เส้น,4,485.67,150×200 1 บาน · มีธรณี,F7935,4,ชิ้น,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
⚪ ดูเฉย ๆ,บานเปิด,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,3,792,150×200 1 บาน · มีธรณี,,,,ใบตัดไม่ลงประเภทนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,บานพับ hyda HD-631,JR00489,JR00488,117,ตัว,5,585,150×200 1 บาน · มีธรณี,JR00489,5,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,มือจับ ล็อค+กุญแจ (KINGBO),JR00315,JR00314,330,ชุด,1,330,150×200 1 บาน · มีธรณี,JR00315,1,ชุด,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,ตลับกุญแจไฮด้า (ล็อคปกติ),JR00551,,285,ตัว,1,285,150×200 1 บาน · มีธรณี,JR00551,1,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,ไส้กุญแจ CH 35x45,JR00499,JR00498,429,ตัว,1,429,150×200 1 บาน · มีธรณี,JR00499,1,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,แผ่นรับล็อค,JR00562,,15,ชุด,1,15,150×200 1 บาน · มีธรณี,JR00562,1,ชุด,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,สปิงก็อท,JR00592,,0,ตัว,4,0,150×200 1 บาน · มีธรณี,JR00592,4,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,ฉากประคองมุม,JR00480,,0,ตัว,8,0,150×200 1 บาน · มีธรณี,JR00480,8,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,"น็อตเฟรม 1""",JR00864,,1,ตัว,8,8,150×200 1 บาน · มีธรณี,JR00864,8,ตัว,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
✓ ผ่าน,บานเปิด,อุปกรณ์/สิ้นเปลือง,ยาง,JR00771,JR00770,11,ม.,7,77,150×200 1 บาน · มีธรณี,JR00771,7,เมตร,ตรง,JR_FUJI_บานเปิดบานกระทุ้ง_1
⚪ ดูเฉย ๆ,บานเปิด,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,2,180,150×200 1 บาน · มีธรณี,,,,ใบตัดไม่ลงประเภทนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🔵 เช็คว่าคิดเกินไหม,บานเปิด,อลูมิเนียม,ชนกลาง F7945C,F7945C,,820,เส้น,3,820,150×200 4 บาน · มีธรณี,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🔵 เช็คว่าคิดเกินไหม,บานเปิด,อุปกรณ์/สิ้นเปลือง,CDQ (บานลอง),JR00596,,370,ตัว,3,1110,150×200 4 บาน · มีธรณี,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🔵 เช็คว่าคิดเกินไหม,บานเปิด,อุปกรณ์/สิ้นเปลือง,ปลายกลอน (บานลอง),JR00598,,80,ตัว,3,240,150×200 4 บาน · มีธรณี,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🔵 เช็คว่าคิดเกินไหม,บานเปิด,อลูมิเนียม,ชายล่าง F7863,F7863,,435,เส้น,1,128.12,150×200 1 บาน · ไม่มีธรณี,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,เฟรมข้าง F7939 (มีช่องแสงล่าง),F7939,,1350,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,เสา (กรอบบาน 8 ซม.),F7943,,1370,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,เฟรมแบ่งบาน F7854,F7854,,1320,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,ตบเฟรมแบ่งบาน F7852,F7852,,760,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,เฟรมข้างช่องแสง F7937,F7937,,1180,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,ตบนอกในบานตาย F7860,JR02894,,0,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,กล่องก้านสลับ F7997,F7997,,1680,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
🟣 ยังไม่ได้ตรวจ,บานเปิด,อลูมิเนียม,เสามุ้ง F7944,F7944,,1030,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเปิดบานกระทุ้ง_1
