ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเปิดครอบวงกบไม้,อลูมิเนียม,"กล่องเรียบ 1.6""×4"" แนวตั้ง (ครอบข้าง) + กล่องเรียบ 1.6""×4"" แนวนอน (ครอบบน)",JR01985,JR01984,1220,เส้น,3,2440,130×210 2 บาน · แม่ลูก,JR01985,3,ชิ้น,ตรง,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อลูมิเนียม,"บังใบกล่อง ½""×1"" แนวนอน (บน) + บังใบกล่อง ½""×1"" แนวตั้ง (ข้าง)",JR01823,JR01822,218,เส้น,3,436,130×210 2 บาน · แม่ลูก,JR01823,3,ชิ้น,ตรง,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อลูมิเนียม,วงกบ/ธรณี มีติ่ง,JR03129,JR03130,1820,เส้น,1,1820,130×210 2 บาน · แม่ลูก,JR03129,1,ชิ้น,ตรง,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อลูมิเนียม,"กรอบบาน 3"" มีบังใบ แนวตั้ง + กรอบบาน 3"" มีบังใบ แนวนอน — บาน 1 + กรอบบาน 3"" มีบังใบ แนวนอน — บาน 2",JR03131,JR03132,1670,เส้น,4,5010,130×210 2 บาน · แม่ลูก,JR03131,4,ชิ้น,ตรง,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อลูมิเนียม,"กรอบบาน 3"" ไม่มีบังใบ แนวตั้ง + กรอบบาน 3"" ไม่มีบังใบ แนวนอน — บาน 1 + กรอบบาน 3"" ไม่มีบังใบ แนวนอน — บาน 2",JR03126,JR03127,1600,เส้น,4,4800,130×210 2 บาน · แม่ลูก,JR03126,4,ชิ้น,ตรง,ใบตัด: woodjamb_swing
⚪ ดูเฉย ๆ,บานเปิดครอบวงกบไม้,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,2.73,720.72,130×210 2 บาน · แม่ลูก,,,,ใบตัดไม่ลงประเภทนี้,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อุปกรณ์/สิ้นเปลือง,บานพับ hyda,JR00489,JR00488,117,ตัว,8,936,130×210 2 บาน · แม่ลูก,JR00489,8,ตัว,ตรง,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อุปกรณ์/สิ้นเปลือง,มือจับ ล็อค+กุญแจ (คิงโบ),JR00315,JR00314,330,ชุด,1,330,130×210 2 บาน · แม่ลูก,JR00315,1,ชุด,ตรง,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อุปกรณ์/สิ้นเปลือง,ตลับกุญแจไฮด้า,JR00551,JR00553,285,ตัว,1,285,130×210 2 บาน · แม่ลูก,JR00551,1,ตัว,ตรง,ใบตัด: woodjamb_swing
✓ ผ่าน,บานเปิดครอบวงกบไม้,อุปกรณ์/สิ้นเปลือง,ไส้กุญแจ,JR00499,JR00498,429,ตัว,1,429,130×210 2 บาน · แม่ลูก,JR00499,1,ตัว,ตรง,ใบตัด: woodjamb_swing
