ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,F7968 เฟรมบนบานเฟี้ยม,F7968,,3262,เส้น,1,3262,180×280 2 บาน,F7968,1,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,เฟรมล่าง/รางยู,F7969,F7932,1797.3,เส้น,1,1797.3,180×280 2 บาน,F7969,1,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,F7970 เฟรมข้างบานเฟี้ยม,F7970,,1106.5,เส้น,2,1106.5,180×280 2 บาน,F7970,2,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,F7971 คิ้วตบเฟรมข้าง,F7971,,520,เส้น,2,520,180×280 2 บาน,F7971,2,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,F7973 ตบปิดเฟรม (ตั้ง) + F7973 ตบปิดเฟรม (นอน),F7973,,239,เส้น,4,478,180×280 2 บาน,F7973,4,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,F7972 กรอบบานเฟี้ยม (ตั้ง) + F7972 กรอบบานเฟี้ยม (ขวาง 45°),F7972,,1735,เส้น,8,5205,180×280 2 บาน,F7972,8,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,F7974 ชนกลางบานคู่,F7974,,966.2,เส้น,1,966.2,180×280 2 บาน,F7974,1,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,F7961 รับล็อคเฟรมข้างบานคู่,F7961,,613,เส้น,1,613,180×280 2 บาน,F7961,1,ชิ้น,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อลูมิเนียม,คิ้วกระจก (ตั้ง) + คิ้วกระจก (นอน),F7935,F7949,453.3,เส้น,8,1359.9,180×280 2 บาน,F7935,8,ชิ้น,ตรง,JR_เฟี้ยมยูโร
— ไม่ต้องทำ,บานเฟี้ยม ยูโร,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,5.04,1330.56,180×280 2 บาน,,,,ใบตัดไม่มีรายการนี้,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อุปกรณ์/สิ้นเปลือง,HD-640 บานพับล้อบน,HD-640,,299,ตัว,1,299,180×280 2 บาน,HD-640,1,ตัว,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อุปกรณ์/สิ้นเปลือง,HD-641 บานพับเฟี้ยม,HD-641,,72,ตัว,10,720,180×280 2 บาน,HD-641,10,ตัว,ตรง,JR_เฟี้ยมยูโร
✓ ผ่าน,บานเฟี้ยม ยูโร,อุปกรณ์/สิ้นเปลือง,HD-642 บานพับมือจับ,HD-642,,109,ตัว,1,109,180×280 2 บาน,HD-642,1,ตัว,ตรง,JR_เฟี้ยมยูโร
