ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24001 เฟรมบน,B24001,,2186.8,เส้น,1,2186.8,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24001,1,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24002 บังใบบน,B24002,,332.5,เส้น,1,332.5,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24002,1,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24003 เฟรมล่าง (ธรณี),B24003,,1511.5,เส้น,1,1511.5,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24003,1,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24004 ตัวตับธรณี,B24004,,592.2,เส้น,1,592.2,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24004,1,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24005 เฟรมข้าง,B24005,,1039,เส้น,2,1039,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24005,2,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24006 บังใบข้าง,B24006,,291,เส้น,2,291,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24006,2,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24007 ขวางบน+ล่าง + B24007 เสา + B24007 เสากุญแจ,B24007,,1257,เส้น,8,5028,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24007,8,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อลูมิเนียม,B24008 คิ้วตบกระจก แนวนอน + B24008 คิ้วตบกระจก แนวตั้ง,B24008,,275.3,เส้น,8,825.9,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),B24008,8,ชิ้น,ตรง,JR_เฟี้ยม_SMS_รวม
⚪ ดูเฉย ๆ,บานเฟี้ยม,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,5.04,1330.56,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),,,,ใบตัดไม่ลงประเภทนี้,JR_เฟี้ยม_SMS_รวม
🔴 ต้องแก้,บานเฟี้ยม,อุปกรณ์/สิ้นเปลือง,ยาง,JR00804,,11,ม.,14.8,162.8,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),JR00804,9.2,ม.,จำนวนต่าง,JR_เฟี้ยม_SMS_รวม
🔵 เช็คว่าคิดเกินไหม,บานเฟี้ยม,อุปกรณ์/สิ้นเปลือง,อุปกรณ์เฟี้ยม (ชุด),,,1,ชุด,5230,5230,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),,,,ใบตัดไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
✓ ผ่าน,บานเฟี้ยม,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,2,180,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),JR00504,2,หลอด,ตรง,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ชุดบานพับ (ระดับเดียว),JR00610,,,ชุด,,,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),JR00610,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ล้อแขวนบานตาย ซ้าย,JR00612,,,ชุด,,,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),JR00612,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ล้อแขวนปลาย ขวา,JR00615,,,ชุด,,,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),JR00615,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ชุดสลักล็อค (Twin Bolt · 05-014),JR00563,,,ชุด,,,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),JR00563,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ยางกรอบบาน (วน 2 รอบ/บาน),JR00805,,,ม.,,,180×280 2 บาน · 2บาน: รวบเปิดซ้าย (2-0),JR00805,28.6,ม.,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ล้อแขวนบานตาย ขวา,JR00613,,,ชุด,,,180×280 2 บาน · 2บาน: รวบเปิดขวา (0-2),JR00613,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ล้อแขวนปลาย ซ้าย,JR00614,,,ชุด,,,180×280 2 บาน · 2บาน: รวบเปิดขวา (0-2),JR00614,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ชุดบานพับ (ต่างระดับ),JR00611,,,ชุด,,,180×280 2 บาน · 3บาน: รวบเปิดซ้าย (3-0),JR00611,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟠 ต้องเติม,บานเฟี้ยม,มีแต่ในใบตัด,ล้อแขวนบานกลาง (Inter),JR00617,,,ชุด,,,180×280 2 บาน · 3บาน: รวบเปิดซ้าย (3-0),JR00617,1,ชุด,คิดราคาไม่มีรายการนี้,JR_เฟี้ยม_SMS_รวม
🟣 ยังไม่ได้ตรวจ,บานเฟี้ยม,อลูมิเนียม,B24009 บังใบ (บานสวิง),B24009,,325,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_เฟี้ยม_SMS_รวม
