ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเฟี้ยมยก,อลูมิเนียม,F7968 เฟรมข้าง (เดิมเฟรมบน),F7968,,3262,เส้น,2,3262,200×120 2 บาน · มาตรฐาน,F7968,2,ชิ้น,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อลูมิเนียม,F7969 เฟรมล่าง,F7969,,1797.3,เส้น,1,1797.3,200×120 2 บาน · มาตรฐาน,F7969,1,ชิ้น,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อลูมิเนียม,F7970 เฟรมบน (เดิมเฟรมข้าง),F7970,,1106.5,เส้น,1,1106.5,200×120 2 บาน · มาตรฐาน,F7970,1,ชิ้น,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อลูมิเนียม,F7971 คิ้วเฟรมบน,F7971,,520,เส้น,1,520,200×120 2 บาน · มาตรฐาน,F7971,1,ชิ้น,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อลูมิเนียม,F7973 ตบปิดเฟรม ตั้ง (ข้าง) + F7973 ตบปิดเฟรม นอน (ล่าง),F7973,,239,เส้น,3,239,200×120 2 บาน · มาตรฐาน,F7973,3,ชิ้น,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อลูมิเนียม,F7972 กรอบบาน ตั้ง + F7972 กรอบบาน นอน,F7972,,1735,เส้น,8,3470,200×120 2 บาน · มาตรฐาน,F7972,8,ชิ้น,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อลูมิเนียม,F7935 คิ้วกระจก ตั้ง + F7935 คิ้วกระจก นอน,F7935,,453.3,เส้น,8,906.6,200×120 2 บาน · มาตรฐาน,F7935,8,ชิ้น,ตรง,JR_เฟี้ยมยก
⚪ ดูเฉย ๆ,บานเฟี้ยมยก,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,1.5,395.49,200×120 2 บาน · มาตรฐาน,,,,ใบตัดไม่ลงประเภทนี้,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-640 บานพับล้อบน,HD-640,,299,ตัว,1,299,200×120 2 บาน · มาตรฐาน,HD-640,1,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-641 บานพับเฟี้ยม,HD-641,,72,ตัว,7,504,200×120 2 บาน · มาตรฐาน,HD-641,7,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-642 บานพับมือจับ,HD-642,,109,ตัว,1,109,200×120 2 บาน · มาตรฐาน,HD-642,1,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-643 บานพับไกด์ล่าง,HD-643,,199,ตัว,1,199,200×120 2 บาน · มาตรฐาน,HD-643,1,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-474 มือจับกลอน,JR00213,,85,ตัว,1,85,200×120 2 บาน · มาตรฐาน,JR00213,1,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-312 ตลับกลอนล็อค,HD-312,,88,ตัว,1,88,200×120 2 บาน · มาตรฐาน,HD-312,1,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-1180 ก้านสไลด์,HD-1180,,73,ตัว,2,146,200×120 2 บาน · มาตรฐาน,HD-1180,2,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-213 ฉากเข้ามุม,HD-213,,15,ตัว,8,120,200×120 2 บาน · มาตรฐาน,HD-213,8,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,HD-200 ฉากประคองมุม,HD-200,,1.5,ตัว,24,36,200×120 2 บาน · มาตรฐาน,HD-200,24,ตัว,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,ยางอัด,JR00768,,8,ม.,8.7,69.6,200×120 2 บาน · มาตรฐาน,JR00768,8.7,ม.,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,ยางรอง,JR00769,,8,ม.,8.7,69.6,200×120 2 บาน · มาตรฐาน,JR00769,8.7,ม.,ตรง,JR_เฟี้ยมยก
✓ ผ่าน,บานเฟี้ยมยก,อุปกรณ์/สิ้นเปลือง,ยางลูกโป่ง 6mm,JR00770,,7,ม.,9.74,68.18,200×120 2 บาน · มาตรฐาน,JR00770,9.74,ม.,ตรง,JR_เฟี้ยมยก
