ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,เฟรมบน E-01,E-01,,2235,เส้น,1,2723.91,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,เฟรมล่างกันน้ำ E-03,E-03,,2152,เส้น,1,2622.75,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,เฟรมข้าง E-02C,E-02C,,1995,เส้น,2,2431.41,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,ถาดลองน้ำ E-03B,E-03B,,742,เส้น,1,742,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,เสากุญแจสลิม E-04e,E-04E,,1080,เส้น,2,1316.25,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,เสาเกี่ยวสลิม E-05e,E-05E,,1072,เส้น,4,2613,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,ขวางบน/ล่าง E-07e,E-07E,,1162,เส้น,6,2832.38,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 84.9กก.),,,100,กก.,84.9,8489.83,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าเปิดตู้อบ,,,2000,งาน,1,2000,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,18.6,4910.4,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ล้อ ehr-80 (2/บานเลื่อน),,,135,ลูก,6,810,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ล็อคก้นหอย,JR00456,,100,ตัว,2,200,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,สักหลาด 5×3,JR00794,,1.5,ม.,96,144,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,"น็อต 1""",JR00864,,1,ตัว,20,20,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,3,270,600×300 3 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,ตบปิดเฟรมบน E-01A,E-01A,,270,เส้น,2,658.13,600×300 2 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อลูมิเนียม,ตบธรณีเฟรมล่าง E-03C,E-03C,,450,เส้น,2,1096.88,600×300 2 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 87.39กก.),,,100,กก.,87.39,8738.99,600×300 2 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 116.42กก.),,,100,กก.,116.42,11642.33,600×300 6 บาน · อิสระ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 94.65กก.),,,100,กก.,94.65,9464.83,600×300 3 บาน · สลับ,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 94.7กก.),,,100,กก.,94.7,9470.24,600×300 3 บาน · เปิดคู่กลาง,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 87.44กก.),,,100,กก.,87.44,8744.41,600×300 2 บาน · เปิดคู่กลาง,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,บานเลื่อน E-series,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 116.48กก.),,,100,กก.,116.48,11647.75,600×300 6 บาน · เปิดคู่กลาง,,,,ยังไม่ผูกไฟล์,
