ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
🔵 เช็คว่าคิดเกินไหม,บานเลื่อนรางบน,อลูมิเนียม,"คานรับราง (กล่อง 2""x4"")",JR01859,,1540,เส้น,1,1201.2,360×240 2 บาน · เลื่อนซ้อน,,,,ใบตัดไม่มีรายการนี้,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อลูมิเนียม,"เสารับบาน (กล่อง 1""x4"")",JR01841,,905,เส้น,2,921.59,360×240 2 บาน · เลื่อนซ้อน,JR01841,2,ชิ้น,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อลูมิเนียม,ชนกลางรับบาน,JR03125,,300,เส้น,1,152.75,360×240 2 บาน · เลื่อนซ้อน,JR03125,1,ชิ้น,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อลูมิเนียม,"ฉาก 4"" ปิดราง",JR01949,,280,เส้น,2,436.8,360×240 2 บาน · เลื่อนซ้อน,JR01949,2,ชิ้น,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อลูมิเนียม,เสากุญแจ ML,B20051,,885,เส้น,2,826.56,360×240 2 บาน · เลื่อนซ้อน,B20051,2,ชิ้น,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อลูมิเนียม,เสาเกี่ยว,B20009,,690,เส้น,2,644.44,360×240 2 บาน · เลื่อนซ้อน,B20009,2,ชิ้น,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อลูมิเนียม,ขวางบน/ล่าง,B20054,,1060,เส้น,4,1460.68,360×240 2 บาน · เลื่อนซ้อน,B20054,4,ชิ้น,ตรง,JR_รางบนเฟรมปกติ_1
⚪ ดูเฉย ๆ,บานเลื่อนรางบน,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,8.64,2280.96,360×240 2 บาน · เลื่อนซ้อน,,,,ใบตัดไม่ลงประเภทนี้,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,รางบน Hafele,JR03141,,2010,เส้น,2,4020,360×240 2 บาน · เลื่อนซ้อน,JR03141,2,ชิ้น,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,ล้อรางบน Hafele 100kg,JR00544,,1170,กล่อง,2,2340,360×240 2 บาน · เลื่อนซ้อน,JR00544,2,กล่อง,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,มือจับ กุญแจ (เมโทร),JR00368,,745,ชุด,1,745,360×240 2 บาน · เลื่อนซ้อน,JR00368,1,ชุด,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,มือจับ ล็อค (เมโทร),JR00369,,410,ชุด,2,820,360×240 2 บาน · เลื่อนซ้อน,JR00369,2,ชุด,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,มือจับ ดัมมี่ (เมโทร),JR00370,,310,ชุด,1,310,360×240 2 บาน · เลื่อนซ้อน,JR00370,1,ชุด,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,แกนมือจับ A,JR00478,,18,อัน,4,72,360×240 2 บาน · เลื่อนซ้อน,JR00478,4,อัน,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,แกนมือจับ B,JR00479,,18,อัน,2,36,360×240 2 บาน · เลื่อนซ้อน,JR00479,2,อัน,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,ปลายมือจับ ดำ,JR00476,,30,อัน,4,120,360×240 2 บาน · เลื่อนซ้อน,JR00476,4,อัน,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,ตัวที เงิน,JR00475,,30,อัน,2,60,360×240 2 บาน · เลื่อนซ้อน,JR00475,2,อัน,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,ก้ามปูรับล็อค,JR00477,,9,อัน,4,36,360×240 2 บาน · เลื่อนซ้อน,JR00477,4,อัน,ตรง,JR_รางบนเฟรมปกติ_1
✓ ผ่าน,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,"น็อตประกอบบาน 1""",JR00864,,1,ตัว,8,8,360×240 2 บาน · เลื่อนซ้อน,JR00864,8,ตัว,ตรง,JR_รางบนเฟรมปกติ_1
🔵 เช็คว่าคิดเกินไหม,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,สักหลาด 5×3,JR00794,,1.5,ม.,36.8,55.2,360×240 2 บาน · เลื่อนซ้อน,,,,ใบตัดไม่มีรายการนี้,JR_รางบนเฟรมปกติ_1
⚪ ดูเฉย ๆ,บานเลื่อนรางบน,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,2,180,360×240 2 บาน · เลื่อนซ้อน,,,,ใบตัดไม่ลงประเภทนี้,JR_รางบนเฟรมปกติ_1
🟠 ต้องเติม,บานเลื่อนรางบน,มีแต่ในใบตัด,มือจับ กุญแจ (Align),JR00377,,,ชุด,,,360×240 2 บาน · เลื่อนซ้อน,JR00377,1,ชุด,คิดราคาไม่มีรายการนี้,JR_รางบนเฟรมปกติ_1
🟠 ต้องเติม,บานเลื่อนรางบน,มีแต่ในใบตัด,มือจับ ล็อค (Align),JR00378,,,ชุด,,,360×240 2 บาน · เลื่อนซ้อน,JR00378,2,ชุด,คิดราคาไม่มีรายการนี้,JR_รางบนเฟรมปกติ_1
🟠 ต้องเติม,บานเลื่อนรางบน,มีแต่ในใบตัด,มือจับ ดัมมี่ (Align),JR00379,,,ชุด,,,360×240 2 บาน · เลื่อนซ้อน,JR00379,1,ชุด,คิดราคาไม่มีรายการนี้,JR_รางบนเฟรมปกติ_1
🟠 ต้องเติม,บานเลื่อนรางบน,มีแต่ในใบตัด (อลู),คานรับราง,"กล่อง 2""X4""",,,ชิ้น,,,360×240 2 บาน · เลื่อนซ้อน,"กล่อง 2""X4""",1,ชิ้น,คิดราคาไม่มีรายการนี้,JR_รางบนเฟรมปกติ_1
