ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,"คาน (กล่อง 1""x4"") + เสารับบาน (กล่อง 1""x4""+1""x4"")","กล่อง 1""x4""",,1137,เส้น,5,2438.87,200×200 2 บาน · อิสระ,"กล่อง 1""X4""",5,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,บังใบ 4 หุน,กล่อง 4 หุน,,200,เส้น,2,168.05,200×200 2 บาน · อิสระ,กล่อง 4 หุน,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,รางแขวน 1 ราง (อบขาว/ดำ),XSW40008,,1414.8,เส้น,2,1195.51,200×200 2 บาน · อิสระ,XSW40008,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ขวางบน-ล่าง (อบขาว/ดำ),OPK-A201-40,,1233.8,เส้น,4,1046.84,200×200 2 บาน · อิสระ,OPK-A201-40,4,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสากุญแจ (ไส้เสาบาน) (อบขาว/ดำ),OPK-A202-40,,775,เส้น,4,1245.27,200×200 2 บาน · อิสระ,OPK-A202-40,4,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบเรียบหน้าเสากุญแจ (อบขาว/ดำ),OPK-A203-40,,429,เส้น,2,357.67,200×200 2 บาน · อิสระ,OPK-A203-40,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบเกี่ยวใส่สักหลาด (อบขาว/ดำ),OPK-A204-40,,454,เส้น,3,567.77,200×200 2 บาน · อิสระ,OPK-A204-40,3,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,"ฉากปิดราง 2""","ฉาก 2""",,320,เส้น,2,277.33,200×200 2 บาน · อิสระ,"ฉาก 2""",2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบปิดใต้รางริม (ฝาปิดล่างเล็ก) (อบขาว/ดำ),XSW400013,,132.2,เส้น,2,111.71,200×200 2 บาน · อิสระ,XSW400013,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบปิดใต้รางกลาง (ฝาปิดล่างใหญ่) (อบขาว/ดำ),XSW400023,,132.2,เส้น,1,55.85,200×200 2 บาน · อิสระ,XSW400023,1,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
⚪ ดูเฉย ๆ,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 14.39กก.),,,100,กก.,14.39,1438.99,200×200 2 บาน · อิสระ,,,,ใบตัดไม่ลงประเภทนี้,JR_SlimLux_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ค่าเปิดตู้อบ,,,2000,งาน,1,2000,200×200 2 บาน · อิสระ,,,,ใบตัดไม่มีรายการนี้,JR_SlimLux_บานเลื่อน
⚪ ดูเฉย ๆ,บานเลื่อนเฟรมบาง SlimLux,กระจก,กระจก เทมเปอร์ 6มม.,,,403,ตร.ม.,4,1612,200×200 2 บาน · อิสระ,,,,ใบตัดไม่ลงประเภทนี้,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ล้อล่าง (ตัว),JR00572,,100,ตัว,4,400,200×200 2 บาน · อิสระ,JR00572,4,ตัว,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,มือจับล็อค,JR00366,JR00367,200,ชุด,2,400,200×200 2 บาน · อิสระ,JR00366,2,ชุด,ตรง,JR_SlimLux_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,สักหลาด,JR00776,,1.5,ม.,5.8,8.7,200×200 2 บาน · อิสระ,,,,ใบตัดไม่มีรายการนี้,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,กล่องยาว (หัว+ท้ายบาน),JR00573,,600,กล่อง,2,1200,200×200 2 บาน · อิสระ,JR00573,2,กล่อง,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,2,180,200×200 2 บาน · อิสระ,JR00504,2,หลอด,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,กล่องสั้น (บานกลาง),JR00575,,700,กล่อง,3,2100,200×200 5 บาน · อิสระ,JR00575,3,กล่อง,ตรง,JR_SlimLux_บานเลื่อน
🟣 ยังไม่ได้ตรวจ,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสามือจับ X-J,JR02890,,820,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_SlimLux_บานเลื่อน
🟣 ยังไม่ได้ตรวจ,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสามือจับ X-J,JR02889,,820,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_SlimLux_บานเลื่อน
🟣 ยังไม่ได้ตรวจ,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสามือจับ X-J,JR02891,,820,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_SlimLux_บานเลื่อน
