ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
⚪ ปกติ (คนละหน่วย),บานโซลิด,อลูมิเนียม,วงกบ 3 ด้าน F7859,F7859,,1205,เส้น,1,1205,150×200 1 บาน · มีธรณี,F7859,3,ชิ้น,นับคนละหน่วย,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อลูมิเนียม,ธรณี F7938B,F7938B,,1520,เส้น,1,1520,150×200 1 บาน · มีธรณี,F7938B,1,ชิ้น,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อลูมิเนียม,ตบธรณี F7960,F7960,,610,เส้น,1,610,150×200 1 บาน · มีธรณี,F7960,1,ชิ้น,ตรง,JR_บานโซลิด_3
⚪ ปกติ (คนละหน่วย),บานโซลิด,อลูมิเนียม,กรอบประตู 7864,F7864,,2165,เส้น,1,4330,150×200 1 บาน · มีธรณี,F7864,4,ชิ้น,นับคนละหน่วย,JR_บานโซลิด_3
⚪ ปกติ (คนละหน่วย),บานโซลิด,อลูมิเนียม,คิ้ว F7935,F7935,,380,เส้น,1,760,150×200 1 บาน · มีธรณี,F7935,4,ชิ้น,นับคนละหน่วย,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อลูมิเนียม,ลูกฟูก2ทาง 2 ฝั่ง,JR01994,,432,เส้น,30,4320,150×200 1 บาน · มีธรณี,JR01994,30,ชิ้น,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อลูมิเนียม,เส้นคาดตาราง 2 ฝั่ง,JR01679,,140,เส้น,68,3220,150×200 1 บาน · มีธรณี,JR01679,68,ชิ้น,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,บานพับ hyda,JR00489,,117,ตัว,5,585,150×200 1 บาน · มีธรณี,JR00489,5,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,มือจับ ล็อค+กุญแจ (คิงโบ),JR00315,,330,ชุด,1,330,150×200 1 บาน · มีธรณี,JR00315,1,ชุด,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,ตลับกุญแจไฮด้า,JR00551,,285,ตัว,1,285,150×200 1 บาน · มีธรณี,JR00551,1,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,ไส้กุญแจ,JR00499,,429,ตัว,1,429,150×200 1 บาน · มีธรณี,JR00499,1,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,แผ่นรับล็อค,JR00562,,15,ชุด,1,15,150×200 1 บาน · มีธรณี,JR00562,1,ชุด,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,สปิงก็อท,JR00592,,12,ตัว,4,48,150×200 1 บาน · มีธรณี,JR00592,4,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,ฉากประคองมุม,JR00480,,5,ตัว,8,40,150×200 1 บาน · มีธรณี,JR00480,8,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,"น็อตเฟรม 1""",JR00864,,1,ตัว,8,8,150×200 1 บาน · มีธรณี,JR00864,8,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,ยางกรอบบาน + ยางวงกบ,JR00771,,11,ม.,14,154,150×200 1 บาน · มีธรณี,JR00771,14,เมตร,ตรง,JR_บานโซลิด_3
⚪ ดูเฉย ๆ,บานโซลิด,อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00504,,90,หลอด,2,180,150×200 1 บาน · มีธรณี,,,,ใบตัดไม่ลงประเภทนี้,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อลูมิเนียม,เปิดกลาง F7945c,F7945C,,820,เส้น,1,820,150×200 2 บาน · มีธรณี,F7945C,1,ชิ้น,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,CDQ บานเปิด (บานลอง),JR00596,,370,ตัว,1,370,150×200 2 บาน · มีธรณี,JR00596,1,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อุปกรณ์/สิ้นเปลือง,ปลายกลอน (บานลอง),JR00598,,80,ตัว,1,80,150×200 2 บาน · มีธรณี,JR00598,1,ตัว,ตรง,JR_บานโซลิด_3
✓ ผ่าน,บานโซลิด,อลูมิเนียม,เสริมใต้บาน F7863,F7863,,435,เส้น,1,435,150×200 1 บาน · ไม่มีธรณี,F7863,1,ชิ้น,ตรง,JR_บานโซลิด_3
