ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,ประตูบานเปิด PC Door,อลูมิเนียม,"คาน (กล่อง 1""x4"")","กล่อง 1""x4""",,1400,เส้น,1,426.56,150×200 2 บาน · แบ่ง 2,"กล่อง 1""X4""",1,ชิ้น,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อลูมิเนียม,ชนกลางบานเลื่อน B20046,B20046,,249.3,เส้น,1,97.99,150×200 2 บาน · แบ่ง 2,B20046,1,ชิ้น,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อลูมิเนียม,วงกบ 3 ด้าน F7859,F7859,,1049.1,เส้น,1,1172.04,150×200 2 บาน · แบ่ง 2,F7859,1,ชิ้น,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อลูมิเนียม,ธรณี F7938B,F7938B,,1530,เส้น,1,466.17,150×200 2 บาน · แบ่ง 2,F7938B,1,ชิ้น,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อลูมิเนียม,ตบธรณี F7960,F7960,,571.5,เส้น,1,174.13,150×200 2 บาน · แบ่ง 2,F7960,1,ชิ้น,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อลูมิเนียม,กรอบบานเปิด เมืองทอง (สูง) F7864 + กรอบบานเปิด เมืองทอง (กว้าง) F7864,F7864,,1995,เส้น,4,2142.07,150×200 2 บาน · แบ่ง 2,F7864,4,ชิ้น,ตรง,JR_PCDoor
🔵 เช็คว่าคิดเกินไหม,ประตูบานเปิด PC Door,อลูมิเนียม,กรอบบานเลื่อน sms (สูง),,,1995,เส้น,2,1517.2,150×200 2 บาน · แบ่ง 2,,,,ใบตัดไม่มีรายการนี้,JR_PCDoor
🔵 เช็คว่าคิดเกินไหม,ประตูบานเปิด PC Door,อลูมิเนียม,กรอบบานเลื่อน sms (กว้าง),,,1995,เส้น,2,525.18,150×200 2 บาน · แบ่ง 2,,,,ใบตัดไม่มีรายการนี้,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อลูมิเนียม,คิ้วกระจก F7935 (เปิด สูง) + คิ้วกระจก F7935 (เปิด กว้าง) + คิ้วกระจก F7935 (เลื่อน สูง) + คิ้วกระจก F7935 (เลื่อน กว้าง),F7935,,453.3,เส้น,8,950.78,150×200 2 บาน · แบ่ง 2,F7935,8,ชิ้น,ตรง,JR_PCDoor
⚪ ดูเฉย ๆ,ประตูบานเปิด PC Door,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,3,792,150×200 2 บาน · แบ่ง 2,,,,ใบตัดไม่ลงประเภทนี้,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,บานพับไม่บาก (hyda),JR00473,,117,ตัว,4,468,150×200 2 บาน · แบ่ง 2,JR00473,4,ตัว,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,ล้อรางบน Hafele + ซอฟโค้ด (ชุด),JR00544,,1170,ชุด,1,1170,150×200 2 บาน · แบ่ง 2,JR00544,1,กล่อง,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,มือจับ Align SMS (2/บาน),JR00378,,198,บาน,2,396,150×200 2 บาน · แบ่ง 2,JR00378,2,ชุด,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,แกนมือจับ A,JR00478,,18,อัน,4,72,150×200 2 บาน · แบ่ง 2,JR00478,4,อัน,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,แกนมือจับ B,JR00479,,18,อัน,2,36,150×200 2 บาน · แบ่ง 2,JR00479,2,อัน,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,ปลายมือจับ ดำ,JR00476,,30,อัน,4,120,150×200 2 บาน · แบ่ง 2,JR00476,4,อัน,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,ตัวที เงิน,JR00475,,30,อัน,2,60,150×200 2 บาน · แบ่ง 2,JR00475,2,อัน,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,ก้ามปูรับล็อค,JR00477,,9,อัน,4,36,150×200 2 บาน · แบ่ง 2,JR00477,4,อัน,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,กลอนบานลอง (รวมปลายกลอน),JR00630,,450,ชุด,1,450,150×200 2 บาน · แบ่ง 2,JR00630,1,อัน,ตรง,JR_PCDoor
✓ ผ่าน,ประตูบานเปิด PC Door,อุปกรณ์/สิ้นเปลือง,น็อตเฟรม,JR00864,,1,ตัว,8,8,150×200 2 บาน · แบ่ง 4,JR00864,8,ตัว,ตรง,JR_PCDoor
