รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
ประตูรั้วบานเลื่อน,อลูมิเนียม,เสาตั้งข้าง (2×4),"กล่อง 2""x4""",มี,1540,เส้น,0.7635772860900512,1175.91,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อลูมิเนียม,"เสานอนบน (2×4, รวมหาง)","กล่อง 2""x4""",มี,1540,เส้น,0.8819433699520345,1358.19,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อลูมิเนียม,"เสานอนล่าง (2×4, รวมหาง)","กล่อง 2""x4""",มี,1540,เส้น,0.8819433699520345,1358.19,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อลูมิเนียม,เสาตั้งท้ายหาง (2×4),"กล่อง 2""x4""",มี,1540,เส้น,0.3817886430450256,587.95,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อลูมิเนียม,เส้นทแยงค้ำมุมบน (2×4),"กล่อง 2""x4""",มี,1540,เส้น,0.09074733096085409,139.75,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อลูมิเนียม,ใบระแนง A (กล่อง 1×1.6″),"กล่อง 1""x1.6""",มี,485,เส้น,10,4850,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อลูมิเนียม,เสารับไกด์ (4×4) — เสาแยก,"กล่อง 4""x4""",มี,2210,เส้น,1,2210,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อลูมิเนียม,"ราง ฉากเหล็ก 1.5""+เพลา 4หุน (ชุด 6 ม.)",,ยังไม่มี,1090,เส้น,2,2180,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อุปกรณ์/สิ้นเปลือง,"เหล็กยัดเสา 4""×4""",,ยังไม่มี,860,ชิ้น,1,860,350×180 1 บาน,,,ใบตัดไม่มีรายการนี้,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อุปกรณ์/สิ้นเปลือง,"ล้อวิ่ง 3""",JR02942,มี,299,ตัว,2,598,350×180 1 บาน,JR02942,2,ตรง,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อุปกรณ์/สิ้นเปลือง,ล้อไกด์ประคองหลัง,JR02943,มี,30,ตัว,4,120,350×180 1 บาน,JR02943,4,ตรง,JR_ประตูรั้ว
ประตูรั้วบานเลื่อน,อุปกรณ์/สิ้นเปลือง,มอเตอร์,,ยังไม่มี,16000,ตัว,1,16000,350×180 1 บาน,—,1,คิดราคายังไม่มีรหัส,JR_ประตูรั้ว
