ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,แผ่นสมาร์ทบอร์ด 12มม. (2 หน้า),,,500,แผ่น,7,3500,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,"โครงเหล็กกรอบ 1½×3"" (รอบ)",,,440,เส้น,2,880,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,"ซีไลน์ 3"" เสาตั้ง (ดิ่ง) @0.60",,,62,เส้น,4,248,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,"ซีไลน์ 3"" ถักนอน (ราบ) @0.40",,,62,เส้น,6,372,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,"ฉนวน 3"" (60×120)",,,130,แผ่น,12,1560,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,สกรูยึดแผ่น (2 หน้า),,,0.5,ตัว,243,121.5,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,สกรูยึดโครง,,,0.5,ตัว,81,40.5,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,ปูนฉาบรอยต่อ (2 หน้า),,,240,ถุง,1,240,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,เทป/ตาข่าย (2 หน้า),,,70,ม้วน,1,70,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,ค่าแรงผลิต,,,700,ตร.ม.,8.1,5670,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ผนังสมาร์ทบอร์ด 12มม. (2 หน้า),อุปกรณ์/สิ้นเปลือง,ค่าแรงติดตั้ง,,,400,ตร.ม.,8.1,3240,300×270 1 บาน,,,,ยังไม่ผูกไฟล์,
