ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),กระจก,กระจก ใส 5มม.,,,205,ตร.ม.,2.88,590.4,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,เฟรม (บน+ล่าง+ข้าง) อบขาว/ดำ,JR00245,,975,เส้น6ม,1.2,1170,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,เสามือจับ อบขาว/ดำ,JR00230,,1500,เส้น6ม,0.8,1200,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,ฉากประกอบมุม,JR00200,,12,ชิ้น,8,96,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,สกรู (8/บาน),JR00224,,0.5,ตัว,16,8,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,ชุดล้อ (4ล้อ),JR00214,,100,ชุด,2,200,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,รางยู,JR00270,,180,เส้น6ม,0.4,72,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,ค่ากรีดราง,JR00202,,800,ม.,2.4,1920,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,ค่าแรง (ผลิต+ติดตั้ง),,,87.5,ชม.,24,2100,120×240 2 บาน · บานเลื่อน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,บานพับ (4ชิ้น/บาน),,,80,ถุง,2,160,120×240 2 บาน · บานเปิด,,,,ยังไม่ผูกไฟล์,
🟣 ยังไม่ได้ตรวจ,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,เฟรม (บน+ล่าง+ข้าง) สีชุบ,JR00193,,875,เส้น6ม,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,
🟣 ยังไม่ได้ตรวจ,ฝาตู้ Future Tech (เฉพาะบานหน้า),อุปกรณ์/สิ้นเปลือง,เสามือจับ สีชุบ,JR00199,,1015,เส้น6ม,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,
