ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,แผ่นยิปซัม 9มม. (1.2×2.4),,,284,แผ่น,12,3408,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,โครงซีไลน์ (ฟิวริ่ง),,,50,เส้น,19,950,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,โครงเคร่าหลัก (อาบ),,,50,เส้น,8,400,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,ขาแขวน,,,50,เส้น,3,150,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,สกรูยึดแผ่น,,,0.5,ตัว,450,225,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,สกรูยึดโครง,,,0.5,ตัว,150,75,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,ปูนฉาบรอยต่อ,,,240,ถุง,1,240,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,เทป/ตาข่าย,,,70,ม้วน,1,70,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,ฉากโอบ อลู 4หุน (เส้น 6ม.),,,70,เส้น,4,280,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,ค่าแรง (ติดโครง+แผ่น+ฉาบ+ทาสี),,,280,ตร.ม.,30,8400,500×600 1 บาน · ไม่ใส่ฉนวน,,,,ยังไม่ผูกไฟล์,
⚪ ยังตรวจไม่ได้,ฝ้ายิปซัม (ฉาบเรียบ ทาสีขาว),อุปกรณ์/สิ้นเปลือง,"ฉนวน rockwool 3""",,,130,แผ่น,42,5460,"500×600 1 บาน · ใส่ฉนวน rockwool 3""",,,,ยังไม่ผูกไฟล์,
