รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,เฟรมบน B22001,B22001,มี,1283,เส้น,1,1283,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,เฟรมข้าง B22002,B22002,มี,1070,เส้น,1,1070,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,เฟรมล่างกันน้ำ (ภายนอก) B20041,B20041,มี,2150.5,เส้น,1,2150.5,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,เสากุญแจ ML B20051,B20051,มี,919.5,เส้น,1,919.5,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,เสาเกี่ยวธรรมดา B20009,B20009,มี,716.8,เส้น,1,716.8,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,ขวางบน/ล่าง B20054,B20054,มี,1101.2,เส้น,1,1101.2,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,ตบปิดเฟรม B20019,B20019,มี,181.8,เส้น,2,363.6,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อลูมิเนียม,ตบราง (ภายนอก) B20050,B20050,มี,150.7,เส้น,1,150.7,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,ลูกฟูก2ทาง (แทนกระจก),JR00206,มี,432,เส้น6ม,15,6480,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,ล้อ 27 (2/บาน),JR00228,มี,80,ตัว,4,320,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,มือจับ Align (2/บาน),JR00378,มี,99,ตัว,4,396,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,ชุดล็อค,JR00246,มี,189,ชุด,2,378,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,น็อต,JR00226,มี,1,ตัว,16,16,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,ล้อลูกฟูก (=จำนวนลูกฟูก),JR00209,มี,7,ตัว,30,210,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,ดาม กล่อง1×1 (นอก+ใน กลาง),,ยังไม่มี,310,เส้น6ม,1,310,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,สักหลาด,JR00242,มี,1.5,ม.,55.8,83.7,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
ระแนงเลื่อน (ลูกฟูกเรียบ 2 ทาง · ข้อ 38.2),อุปกรณ์/สิ้นเปลือง,ซิลิโคน,JR00221,มี,90,หลอด,2,180,300×240 2 บาน,,,ยังไม่ผูกไฟล์,
