รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
หลังคา,อลูมิเนียม,จันทันรัดรอบ (กว้าง หน้า-หลัง),"กล่อง 1.6""x4""",มี,1220,เส้น,1.3906162722084003,1696.55,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,จันทันรัดรอบ (ยื่น ข้าง),"กล่อง 1.6""x4""",มี,1220,เส้น,0.6657347987038496,812.2,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,จันทันซอย 1.6×4,"กล่อง 1.6""x4""",มี,1220,เส้น,2.330071795463473,2842.69,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,แป (ยัดในช่อง) — เดี่ยว,"กล่อง 1.6""x1.6""",มี,770,เส้น,4,3080,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,กล่องครอบเพลท 1.6×4,"กล่อง 1.6""x4""",มี,1220,เส้น,0.6135771336242766,748.56,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,ฉาก 6 หุน,ฉาก 6 หุน,มี,140,เส้น,1,140,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,"แซด 4""","แซด 4""",มี,140,เส้น,1,140,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,รัดรอบ (หน้า),"กล่อง 1""x1.5""",มี,393,เส้น,0.9963087789673591,391.55,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อลูมิเนียม,รัดรอบ (ข้าง),"กล่อง 1""x1.5""",มี,393,เส้น,1.003691221032641,394.45,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อุปกรณ์/สิ้นเปลือง,"กล่องเหล็ก 1""×1""",,ยังไม่มี,110,เส้น,7,770,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อุปกรณ์/สิ้นเปลือง,เพลทเหล็ก,,ยังไม่มี,15,แผ่น,14,210,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อุปกรณ์/สิ้นเปลือง,รางน้ำอลู,,ยังไม่มี,2273,เส้น,1,2273,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อุปกรณ์/สิ้นเปลือง,แผ่นไวนิล (7ม.),,ยังไม่มี,1540,แผ่น,6,9240,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
หลังคา,อุปกรณ์/สิ้นเปลือง,ฝาครอบไวนิล,,ยังไม่มี,245,เส้น,16,3920,400×200 1 บาน,,,ยังไม่ผูกไฟล์,
