ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,หลังคาจั่ว,อลูมิเนียม,จันทัน 1.6×4 (2 ฝั่ง),"กล่อง 1.6""x4""",มี,1220,เส้น,8,4880,400×200 1 บาน,"กล่อง 1.6""X4""",8,ชิ้น,ตรง,ใบตัด: gable_straight
✓ ผ่าน,หลังคาจั่ว,อลูมิเนียม,สัน/อกไก่ 4×4 + คานตัว T คานนอน 4×4 + คานตัว T เสาตั้ง 4×4 + รัดรอบ 4×4 (แนวยื่น 2 ข้าง) + รัดรอบ 4×4 (แนวกว้าง ปลาย),"กล่อง 4""x4""",มี,2208,เส้น,10,11039.99,400×200 1 บาน,"กล่อง 4""X4""",10,ชิ้น,ตรง,ใบตัด: gable_straight
✓ ผ่าน,หลังคาจั่ว,อลูมิเนียม,แป 1×1½,"กล่อง 1""x1.5""",มี,393,เส้น,60,2751,400×200 1 บาน,"กล่อง 1""X1.5""",60,ชิ้น,ตรง,ใบตัด: gable_straight
— ไม่ต้องทำ,หลังคาจั่ว,อุปกรณ์/สิ้นเปลือง,ฉาก 6 หุน (2 ชายคา),,ยังไม่มี,140,เส้น,2,280,400×200 1 บาน,,,,ใบตัดไม่มีรายการนี้,ใบตัด: gable_straight
— ไม่ต้องทำ,หลังคาจั่ว,อุปกรณ์/สิ้นเปลือง,"แซด 4"" (2 ชายคา)",,ยังไม่มี,140,เส้น,2,280,400×200 1 บาน,,,,ใบตัดไม่มีรายการนี้,ใบตัด: gable_straight
— ไม่ต้องทำ,หลังคาจั่ว,อุปกรณ์/สิ้นเปลือง,"กล่องเหล็ก 1""×1""",,ยังไม่มี,110,เส้น,8,880,400×200 1 บาน,,,,ใบตัดไม่มีรายการนี้,ใบตัด: gable_straight
— ไม่ต้องทำ,หลังคาจั่ว,อุปกรณ์/สิ้นเปลือง,เพลทเหล็ก,,ยังไม่มี,15,แผ่น,16,240,400×200 1 บาน,,,,ใบตัดไม่มีรายการนี้,ใบตัด: gable_straight
— ไม่ต้องทำ,หลังคาจั่ว,อุปกรณ์/สิ้นเปลือง,รางน้ำอลู,,ยังไม่มี,2273,เส้น,2,4546,400×200 1 บาน,,,,ใบตัดไม่มีรายการนี้,ใบตัด: gable_straight
— ไม่ต้องทำ,หลังคาจั่ว,อุปกรณ์/สิ้นเปลือง,แผ่นไวนิล (2 ด้าน),,ยังไม่มี,1540,แผ่น,8,12320,400×200 1 บาน,,,,ใบตัดไม่มีรายการนี้,ใบตัด: gable_straight
— ไม่ต้องทำ,หลังคาจั่ว,อุปกรณ์/สิ้นเปลือง,ฝาครอบไวนิล (2 ด้าน),,ยังไม่มี,245,เส้น,16,3920,400×200 1 บาน,,,,ใบตัดไม่มีรายการนี้,ใบตัด: gable_straight
