ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
— ไม่มีใบตัด,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),กระจก,กระจก เทมเปอร์ใส 10มม.,,,695,ตร.ม.,1.2,834,60×200 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์/สิ้นเปลือง,ยูจับกระจก,JR00275,,200,ตัว,4,800,60×200 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์/สิ้นเปลือง,บานพับสแตนเลส,JR00248,,1450,ตัว,2,2900,60×200 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์/สิ้นเปลือง,ยางปิดหน้าบาน,JR00238,,150,เส้น,1,150,60×200 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์/สิ้นเปลือง,มือจับสแตนเลส,JR00274,,1500,ตัว,1,1500,60×200 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่มีใบตัด,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์/สิ้นเปลือง,ค่าแรงติดตั้ง,,,87.5,ชม.,6,525,60×200 1 บาน,,,,ยังไม่ผูกไฟล์,
— ไม่ต้องทำ,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์ (ไม่ได้ใช้),ราวสแตนเลสกลม,JR00272,,430,เส้น6ม,0,0,60×200 1 บาน,,,,ไม่ได้ใช้ที่ขนาดนี้,
— ไม่ต้องทำ,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์ (ไม่ได้ใช้),ตัวจับกระจกคู่ราว,JR00225,,175,ตัว,0,0,60×200 1 บาน,,,,ไม่ได้ใช้ที่ขนาดนี้,
— ไม่ต้องทำ,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์ (ไม่ได้ใช้),รางสแตนเลสเลื่อน,JR00194,,3500,เส้น6ม,0,0,60×200 1 บาน,,,,ไม่ได้ใช้ที่ขนาดนี้,
— ไม่ต้องทำ,ห้องอาบน้ำ Shower (กระจกเทมเปอร์),อุปกรณ์ (ไม่ได้ใช้),ยู5หุนอลู (รอบแผ่น),JR00210,,200,เส้น6ม,0,0,60×200 1 บาน,,,,ไม่ได้ใช้ที่ขนาดนี้,
