รุ่น,หมวด,ชื่อรายการ,รหัสสโตร์,มีรหัสไหม,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัสในใบตัด,จำนวนในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
บานเลื่อน ยูโร,อลูมิเนียม,เสา,F7980,มี,1423.3,เส้น,3.65625,5203.94,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ขวาง,F7980,มี,1423.3,เส้น,2.4375,3469.29,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,คิ้ว ตั้ง,F7919,มี,192.2,เส้น,3.65625,702.73,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,คิ้ว ขวาง,F7919,มี,192.2,เส้น,2.4375,468.49,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,เฟรมบน,F7869,มี,2623.2,เส้น,1.21875,3197.02,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,เฟรมล่างกันน้ำ (งานนอก),F7869,มี,2623.2,เส้น,1.21875,3197.02,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,เฟรมข้าง,F7978,มี,914.2,เส้น,1.21875,1114.18,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,เดือย (ยูข้าง),F7986,มี,192.6,เส้น,1.21875,234.73,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ตบเกี่ยว,F7983,มี,472.7,เส้น,2.4375,1152.21,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,เสารับแรง (สูงเกิน 2.6 ม.),F7951,มี,2036.2,เส้น,2.4375,4963.24,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ตบยูข้าง (F7988),F7988,มี,70.5,เส้น,1.21875,85.92,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ปิดตบเกี่ยว (F7988),F7988,มี,70.5,เส้น,2.4375,171.84,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ตบกันสาด#2 (F7988),F7988,มี,70.5,เส้น,1.21875,85.92,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดราง F7993,F7993,มี,95,เส้น,3.65625,347.34,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ตบราง F7994,F7994,มี,135,เส้น,3.65625,493.59,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดร่องบน (ตบกันสาด),F7992,มี,509,เส้น,1.21875,620.34,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,กระจก,กระจก เขียว 6มม.,,ยังไม่มี,264,ตร.ม.,18.6,4910.4,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ล้อ-15x20x230 (2/บาน),JR00577,มี,80,ตัว,6,480,600×300 3 บาน,JR00577,4,ตรง,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ Align (2/บาน),JR00378,มี,99,ตัว,4,396,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ชุดล็อค,JR00246,มี,189,ชุด,2,378,600×300 3 บาน,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ฉากประกอบมุม (12/บาน),JR00480,มี,2,ตัว,36,72,600×300 3 บาน,JR00480,24,ตรง,JR_FUJI_บานเลื่อน
