ต้องเช็ค,รุ่น,หมวด,ชื่อรายการ,รหัส (คิดราคา),รหัสอื่นตามสี,ราคา/หน่วย,หน่วย,จำนวน,ยอดเงิน,ขนาดที่ใช้คิด,รหัส (ใบตัด),จำนวนในใบตัด,หน่วยในใบตัด,ตรงกันไหม,ไฟล์ตัดประกอบ
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เสา + ขวาง,F7980,,1530,เส้น,12,9251.09,600×300 3 บาน · อิสระ,F7980,12,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,คิ้ว ตั้ง + คิ้ว ขวาง,F7919,F7917,220,เส้น,12,1254.61,600×300 3 บาน · อิสระ,F7919,12,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เฟรมบน + เฟรมล่างกันน้ำ (งานนอก),F7869,,2765,เส้น,2,6692.5,600×300 3 บาน · อิสระ,F7869,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เฟรมข้าง,F7978,,1005,เส้น,2,1224.84,600×300 3 บาน · อิสระ,F7978,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เดือย (ยูข้าง),F7986,,300,เส้น,2,354.66,600×300 3 บาน · อิสระ,F7986,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบเกี่ยว,F7983,,520,เส้น,4,1236.24,600×300 3 บาน · อิสระ,F7983,4,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,เสารับแรง (สูงเกิน 2.8 ม.),F7951,,2175,เส้น,1,1325.39,600×300 3 บาน · อิสระ,F7951,1,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบยูข้าง (F7988) + ปิดตบเกี่ยว (F7988),F7988,,100,เส้น,6,355.96,600×300 3 บาน · อิสระ,F7988,6,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดราง F7993,F7993,,95,เส้น,3,344.91,600×300 3 บาน · อิสระ,F7993,3,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบราง F7994,F7994,,150,เส้น,3,544.6,600×300 3 บาน · อิสระ,F7994,3,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดร่องบน (ตบกันสาด + ตัวปิด),F7992,,535,เส้น,2,1304.06,600×300 3 บาน · อิสระ,F7992,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
⚪ ดูเฉย ๆ,บานเลื่อน ยูโร,กระจก,กระจก เขียว 6มม.,,,264,ตร.ม.,18.6,4910.4,600×300 3 บาน · อิสระ,,,,ใบตัดไม่ลงประเภทนี้,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ล้อ 24,JR00586,,100,ตัว,6,600,600×300 3 บาน · อิสระ,JR00586,6,ตัว,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ กุญแจ (Align),JR00377,,99,ชุด,1,99,600×300 3 บาน · อิสระ,JR00377,1,ชุด,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ ล็อค (Align),JR00378,,69,ชุด,2,138,600×300 3 บาน · อิสระ,JR00378,2,ชุด,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ ดัมมี่ (Align),JR00379,,62,ชุด,1,62,600×300 3 บาน · อิสระ,JR00379,1,ชุด,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,แกนมือจับ A,JR00478,,18,อัน,4,72,600×300 3 บาน · อิสระ,JR00478,4,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,แกนมือจับ B,JR00479,,18,อัน,4,72,600×300 3 บาน · อิสระ,JR00479,4,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ปลายมือจับ ดำ,JR00476,,30,อัน,4,120,600×300 3 บาน · อิสระ,JR00476,4,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ตัวที เงิน,JR00475,,30,อัน,2,60,600×300 3 บาน · อิสระ,JR00475,2,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ก้ามปูรับล็อค,JR00477,,9,อัน,4,36,600×300 3 บาน · อิสระ,JR00477,4,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,สปิงก็อท,JR00592,,29,ตัว,12,348,600×300 3 บาน · อิสระ,JR00592,12,ตัว,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ฉากประกอบมุม,JR00480,,2,ตัว,24,48,600×300 3 บาน · อิสระ,JR00480,24,ตัว,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ยางรูน้ำ,JR00589,,0,อัน,11,0,600×300 3 บาน · อิสระ,JR00589,11,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,วาวรูน้ำ,JR00485,,14,อัน,11,154,600×300 3 บาน · อิสระ,JR00485,11,อัน,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,สักหลาด (ม.),JR00794,,1.5,ม.,110.2,165.3,600×300 3 บาน · อิสระ,JR00794,110.2,ม.,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,"น็อต 1"" (ประกอบบาน+เฟรม)",JR00864,,1,ตัว,20,20,600×300 3 บาน · อิสระ,JR00864,20,ตัว,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,น็อต 6 หุน (ยึดล้อ),JR00863,,1,ตัว,12,12,600×300 3 บาน · อิสระ,JR00863,12,ตัว,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,ซิลิโคน ใน+นอก,JR00504,,90,หลอด,3,270,600×300 3 บาน · อิสระ,JR00504,3,หลอด,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ กุญแจ (เมโทร),JR00368,,745,ชุด,1,745,600×300 3 บาน · อิสระ,JR00368,1,ชุด,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ ล็อค (เมโทร),JR00369,,410,ชุด,2,820,600×300 3 บาน · อิสระ,JR00369,2,ชุด,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อุปกรณ์/สิ้นเปลือง,มือจับ ดัมมี่ (เมโทร),JR00370,,310,ชุด,1,310,600×300 3 บาน · อิสระ,JR00370,1,ชุด,ตรง,JR_FUJI_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อน ยูโร,อลูมิเนียม,เฟรมข้าง (2 ราง),F7979,,690,เส้น,2,840.94,600×300 6 บาน · อิสระ,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อน ยูโร,อลูมิเนียม,ต่อเฟรมข้าง,F7989,,335,เส้น,2,408.28,600×300 6 บาน · อิสระ,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อน ยูโร,อลูมิเนียม,ต่อราง,F7990,,1030,เส้น,4,5021.25,600×300 6 บาน · อิสระ,,,,ใบตัดไม่มีรายการนี้,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ต่อชนกลาง F7925,F7925,,410.3,เส้น,1,250.03,600×300 6 บาน · เปิดคู่กลาง,F7925,1,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ชนกลางรับแรง F7855,F7855,,1300,เส้น,1,792.19,600×300 6 บาน · เปิดคู่กลาง,F7855,1,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดเฟรมร่องใน,F7880,,370,เส้น,2,901.88,600×300 6 บาน · เปิดคู่กลาง,F7880,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อน ยูโร,อลูมิเนียม,ตบปิดเฟรมร่องกลาง,F7879,,375,เส้น,2,457.03,600×300 6 บาน · เปิดคู่กลาง,F7879,2,ชิ้น,ตรง,JR_FUJI_บานเลื่อน
🟣 ยังไม่ได้ตรวจ,บานเลื่อน ยูโร,อลูมิเนียม,เฟรมล่าง (งานใน ตัวเตี้ย),F7902,,1220,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_FUJI_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,"คาน (กล่อง 1""x4"") + เสารับบาน (กล่อง 1""x4""+1""x4"")","กล่อง 1""x4""",,1137,เส้น,5,2438.87,200×200 2 บาน · อิสระ,"กล่อง 1""X4""",5,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,บังใบ 4 หุน,กล่อง 4 หุน,,200,เส้น,2,168.05,200×200 2 บาน · อิสระ,กล่อง 4 หุน,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,รางแขวน 1 ราง (อบขาว/ดำ),XSW40008,,1414.8,เส้น,2,1195.51,200×200 2 บาน · อิสระ,XSW40008,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ขวางบน-ล่าง (อบขาว/ดำ),OPK-A201-40,,1233.8,เส้น,4,1046.84,200×200 2 บาน · อิสระ,OPK-A201-40,4,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสากุญแจ (ไส้เสาบาน) (อบขาว/ดำ),OPK-A202-40,,775,เส้น,4,1245.27,200×200 2 บาน · อิสระ,OPK-A202-40,4,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบเรียบหน้าเสากุญแจ (อบขาว/ดำ),OPK-A203-40,,429,เส้น,2,357.67,200×200 2 บาน · อิสระ,OPK-A203-40,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบเกี่ยวใส่สักหลาด (อบขาว/ดำ),OPK-A204-40,,454,เส้น,3,567.77,200×200 2 บาน · อิสระ,OPK-A204-40,3,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,"ฉากปิดราง 2""","ฉาก 2""",,320,เส้น,2,277.33,200×200 2 บาน · อิสระ,"ฉาก 2""",2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบปิดใต้รางริม (ฝาปิดล่างเล็ก) (อบขาว/ดำ),XSW400013,,132.2,เส้น,2,111.71,200×200 2 บาน · อิสระ,XSW400013,2,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,ตบปิดใต้รางกลาง (ฝาปิดล่างใหญ่) (อบขาว/ดำ),XSW400023,,132.2,เส้น,1,55.85,200×200 2 บาน · อิสระ,XSW400023,1,ชิ้น,ตรง,JR_SlimLux_บานเลื่อน
⚪ ดูเฉย ๆ,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ค่าอบสี (อบขาว/ดำ 100/กก. × 14.39กก.),,,100,กก.,14.39,1438.99,200×200 2 บาน · อิสระ,,,,ใบตัดไม่ลงประเภทนี้,JR_SlimLux_บานเลื่อน
⚪ ดูเฉย ๆ,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ค่าเปิดตู้อบ,,,2000,งาน,1,2000,200×200 2 บาน · อิสระ,,,,ใบตัดไม่ลงประเภทนี้,JR_SlimLux_บานเลื่อน
⚪ ดูเฉย ๆ,บานเลื่อนเฟรมบาง SlimLux,กระจก,กระจก เทมเปอร์ 6มม.,,,403,ตร.ม.,4,1612,200×200 2 บาน · อิสระ,,,,ใบตัดไม่ลงประเภทนี้,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,กล่องยาว (หัว+ท้ายบาน),JR00573,,600,กล่อง,2,1200,200×200 2 บาน · อิสระ,JR00573,2,กล่อง,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ล้อล่าง,JR00572,,100,ตัว,4,400,200×200 2 บาน · อิสระ,JR00572,4,ตัว,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,มือจับล็อค สลิม (ขาว),JR00366,,200,ชุด,2,400,200×200 2 บาน · อิสระ,JR00366,2,ชุด,ตรง,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,ซิลิโคน ใน+นอก,JR00504,,90,หลอด,2,180,200×200 2 บาน · อิสระ,JR00504,2,หลอด,ตรง,JR_SlimLux_บานเลื่อน
🔵 เช็คว่าคิดเกินไหม,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,สักหลาด (ม.),JR00776,,1.5,ม.,5.8,8.7,200×200 2 บาน · อิสระ,,,,ใบตัดไม่มีรายการนี้,JR_SlimLux_บานเลื่อน
✓ ผ่าน,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,กล่องสั้น ซ้าย (บานกลาง),JR00575,,700,กล่อง,3,2100,200×200 5 บาน · อิสระ,JR00575,3,กล่อง,ตรง,JR_SlimLux_บานเลื่อน
🟣 ยังไม่ได้ตรวจ,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสามือจับ X-J,JR02890,,820,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_SlimLux_บานเลื่อน
🟣 ยังไม่ได้ตรวจ,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสามือจับ X-J,JR02889,,820,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_SlimLux_บานเลื่อน
🟣 ยังไม่ได้ตรวจ,บานเลื่อนเฟรมบาง SlimLux,อลูมิเนียม,เสามือจับ X-J,JR02891,,820,,,,— ไม่โผล่ในขนาด/รูปแบบที่ลอง —,,,,ยังไม่ได้ตรวจ,JR_SlimLux_บานเลื่อน
⚪ ตรวจแล้วที่รหัสพี่น้อง,บานเลื่อนเฟรมบาง SlimLux,อุปกรณ์/สิ้นเปลือง,มือจับล็อค,JR00367,,200,ชุด,,,— ตรวจแล้วที่รหัสพี่น้องชื่อเดียวกัน —,,,,รหัสสำรองตามสี,JR_SlimLux_บานเลื่อน
